issue_id, start_time, abandoned/resolved, answer_time, abandoned_time, resolved_time
1423, 4:27, resolved, 15:11, , 16:35
1225, 4:41, resolved, 16:35, , 16:50
1629, 5:03, abandoned, 16:50, 17:49,
1957, 5:11, abandoned, 17:49, 18:48,
1147, 7:42, resolved, 18:48, , 19:43
1174, 7:44, abandoned, 19:43, 20:47,
1264, 9:05, resolved, 20:47, , 21:22
1518, 10:16, abandoned, 21:22, 22:08,
1895, 12:30, resolved, 22:08, , 22:09
1343, 11:23, abandoned, 22:09, 23:44,
1600, 12:28, abandoned, 23:44, 0:24,
1040, 1:57, abandoned, 1:57, 2:52,
1343, 4:06, abandoned, 4:06, 5:11,
1137, 7:20, abandoned, 7:20, 8:47,
1558, 10:15, resolved, 10:15, , 11:30
1455, 12:28, abandoned, 12:28, 12:32,
1269, 2:17, resolved, 12:32, , 13:18
1984, 3:11, abandoned, 13:18, 14:18,
1793, 2:27, abandoned, 14:18, 14:42,
1090, 2:55, abandoned, 14:42, 15:34,
1749, 4:22, abandoned, 15:34, 16:12,
1651, 5:50, abandoned, 16:12, 17:25,
1222, 7:46, resolved, 17:25, , 17:34
1443, 7:38, abandoned, 17:34, 18:27,
1587, 8:30, resolved, 18:27, , 18:50
1501, 8:04, resolved, 18:50, , 19:29
1277, 9:11, resolved, 19:29, , 20:33
1037, 10:26, resolved, 20:33, , 21:48
1938, 10:28, resolved, 21:48, , 22:51
1812, 12:11, abandoned, 22:51, 23:41,
1202, 11:40, abandoned, 23:41, 23:44,
1392, 11:44, abandoned, 23:44, 23:48,
1737, 13:15, resolved, 23:48, , 0:42
1886, 2:59, abandoned, 2:59, 3:51,
1113, 5:04, abandoned, 5:04, 5:23,
1735, 7:47, resolved, 7:47, , 8:22
1707, 8:49, abandoned, 8:49, 9:25,
1970, 10:40, resolved, 10:40, , 10:47
1946, 11:01, resolved, 11:01, , 11:18
1012, 11:36, abandoned, 11:36, 11:40,
1296, 12:28, abandoned, 12:28, 13:34,
1282, 2:45, resolved, 13:34, , 13:40
1566, 3:45, abandoned, 13:40, 14:24,
1161, 4:17, abandoned, 14:24, 16:01,
1413, 5:46, abandoned, 16:01, 17:14,
1439, 6:17, resolved, 17:14, , 18:30
1914, 6:57, resolved, 18:30, , 19:42
1036, 9:19, resolved, 19:42, , 20:15
1531, 8:59, abandoned, 20:15, 21:37,
1704, 10:33, abandoned, 21:37, 22:08,
1929, 11:56, resolved, 22:08, , 23:36
1131, 12:01, abandoned, 23:36, 23:48,
1474, 11:33, resolved, 23:48, , 0:48
1054, 2:23, resolved, 2:23, , 3:40
1814, 4:25, resolved, 4:25, , 5:16
1845, 7:51, resolved, 7:51, , 7:58
1980, 8:01, abandoned, 8:01, 9:46,
1948, 10:39, abandoned, 10:39, 11:41,
1492, 12:34, resolved, 12:34, , 12:53
1118, 1:06, abandoned, 12:53, 13:16,
1988, 3:11, resolved, 13:16, , 14:24
1890, 3:41, resolved, 14:24, , 14:52
1603, 3:18, abandoned, 14:52, 15:20,
1561, 4:02, resolved, 15:20, , 15:41
1688, 3:51, resolved, 15:41, , 16:04
1372, 5:31, abandoned, 16:04, 16:28,
1299, 5:25, resolved, 16:28, , 17:52
1884, 5:58, resolved, 17:52, , 18:53
1628, 8:14, abandoned, 18:53, 19:07,
1914, 9:20, abandoned, 19:07, 20:50,
1979, 8:44, resolved, 20:50, , 21:37
1783, 11:26, resolved, 21:37, , 21:43
1634, 10:45, abandoned, 21:43, 22:47,
1441, 11:41, abandoned, 22:47, 23:33,
1846, 12:09, resolved, 23:33, , 0:40
1338, 2:52, abandoned, 2:52, 3:22,
1562, 5:44, abandoned, 5:44, 6:55,
1102, 8:42, resolved, 8:42, , 9:42
1637, 10:24, abandoned, 10:24, 11:32,
1902, 11:26, abandoned, 11:32, 12:42,
1677, 1:06, resolved, 12:42, , 14:01
1607, 3:30, resolved, 14:01, , 15:09
1402, 5:17, resolved, 15:09, , 15:47
1979, 4:33, resolved, 15:47, , 16:26
1521, 5:50, resolved, 16:26, , 16:44
1502, 6:26, resolved, 16:44, , 17:06
1358, 7:15, abandoned, 17:06, 18:03,
1132, 8:05, abandoned, 18:03, 19:44,
1384, 8:39, abandoned, 19:44, 19:48,
1105, 7:53, abandoned, 19:48, 19:50,
1498, 8:27, resolved, 19:50, , 20:09
1062, 10:56, resolved, 20:09, , 20:36
1491, 10:26, abandoned, 20:36, 20:44,
1506, 10:21, resolved, 20:44, , 21:55
1400, 9:40, resolved, 21:55, , 22:26
1312, 12:09, resolved, 22:26, , 22:38
1747, 10:46, abandoned, 22:38, 23:40,
1234, 12:37, abandoned, 23:40, 0:20,
1497, 2:39, abandoned, 2:39, 3:46,
1224, 4:37, abandoned, 4:37, 5:46,
1691, 6:55, abandoned, 6:55, 7:52,
1217, 9:50, resolved, 9:50, , 9:51
1465, 11:47, resolved, 11:47, , 11:50
1329, 12:34, abandoned, 12:34, 13:45,
1323, 3:19, resolved, 13:45, , 14:32
1753, 3:08, resolved, 14:32, , 15:41
1046, 3:20, resolved, 15:41, , 15:58
1911, 4:50, abandoned, 15:58, 16:05,
1383, 6:21, abandoned, 16:05, 16:18,
1351, 4:41, abandoned, 16:18, 17:16,
1611, 7:57, resolved, 17:16, , 17:43
1192, 7:01, abandoned, 17:43, 18:35,
1463, 8:31, resolved, 18:35, , 18:48
1077, 8:09, abandoned, 18:48, 19:17,
1499, 7:12, resolved, 19:17, , 19:56
1565, 8:02, resolved, 19:56, , 20:58
1023, 8:07, resolved, 20:58, , 21:22
1198, 10:51, resolved, 21:22, , 22:41
1298, 12:25, abandoned, 22:41, 23:26,
1792, 13:25, abandoned, 23:26, 23:57,
1918, 12:14, resolved, 23:57, , 0:22
1119, 1:51, resolved, 1:51, , 2:45
1967, 4:12, abandoned, 4:12, 5:46,
1273, 5:14, abandoned, 5:46, 6:09,
1860, 8:58, abandoned, 8:58, 9:23,
1620, 10:00, abandoned, 10:00, 12:00,
1802, 12:26, abandoned, 12:26, 13:06,
1662, 1:31, abandoned, 13:06, 13:06,
1487, 3:03, abandoned, 13:06, 14:03,
1454, 2:04, resolved, 14:03, , 15:18
1951, 5:48, abandoned, 15:18, 16:18,
1241, 6:50, resolved, 16:18, , 17:07
1182, 7:34, resolved, 17:07, , 17:09
1163, 6:41, resolved, 17:09, , 17:25
1271, 6:34, abandoned, 17:25, 18:37,
1216, 7:55, abandoned, 18:37, 19:44,
1423, 8:33, abandoned, 19:44, 20:53,
1270, 10:50, abandoned, 20:53, 21:43,
1637, 9:57, abandoned, 21:43, 21:43,
1247, 10:17, resolved, 21:43, , 22:31
1638, 12:46, abandoned, 22:31, 23:33,
1241, 12:48, resolved, 23:33, , 0:02
1863, 2:41, resolved, 2:41, , 3:01
1593, 4:37, abandoned, 4:37, 5:33,
1245, 5:42, resolved, 5:42, , 5:58
1074, 7:50, resolved, 7:50, , 8:30
1282, 10:59, resolved, 10:59, , 11:03
1529, 12:10, abandoned, 12:10, 13:53,
1733, 1:10, resolved, 13:53, , 14:02
1623, 4:04, abandoned, 14:02, 14:13,
1029, 4:24, resolved, 14:13, , 15:21
1321, 4:58, abandoned, 15:21, 16:10,
1169, 6:19, resolved, 16:10, , 17:17
1949, 6:28, resolved, 17:17, , 17:19
1454, 6:24, resolved, 17:19, , 18:43
1741, 7:21, abandoned, 18:43, 19:12,
1433, 9:47, resolved, 19:12, , 20:50
1973, 9:49, resolved, 20:50, , 22:00
1976, 10:49, abandoned, 22:00, 23:44,
1065, 11:49, resolved, 23:44, , 0:13
1433, 2:02, resolved, 2:02, , 3:07
1411, 5:17, resolved, 5:17, , 5:42
1565, 6:22, resolved, 6:22, , 7:52
1475, 7:59, abandoned, 7:59, 8:44,
1616, 9:04, abandoned, 9:04, 9:17,
1452, 9:55, resolved, 9:55, , 10:34
1693, 12:04, resolved, 12:04, , 13:07
1992, 3:02, resolved, 13:07, , 14:17
1182, 4:06, abandoned, 14:17, 15:23,
1794, 3:33, resolved, 15:23, , 16:41
1404, 5:53, resolved, 16:41, , 17:29
1788, 5:59, abandoned, 17:29, 18:43,
1424, 8:47, abandoned, 18:43, 19:47,
1237, 9:08, resolved, 19:47, , 20:26
1096, 10:21, abandoned, 20:26, 21:19,
1090, 9:34, resolved, 21:19, , 22:07
1688, 10:45, resolved, 22:07, , 23:07
1635, 12:16, abandoned, 23:07, 0:07,
1970, 0:49, abandoned, 0:49, 1:53,
1943, 2:11, abandoned, 2:11, 3:54,
1730, 3:55, abandoned, 3:55, 4:20,
1078, 6:35, abandoned, 6:35, 7:09,
1699, 8:31, resolved, 8:31, , 9:28
1948, 10:01, abandoned, 10:01, 11:36,
1420, 11:29, resolved, 11:36, , 12:37
1664, 2:38, abandoned, 12:37, 13:13,
1672, 3:46, resolved, 13:13, , 13:29
1264, 3:13, abandoned, 13:29, 13:59,
1205, 2:17, resolved, 13:59, , 14:59
1784, 2:34, abandoned, 14:59, 15:16,
1687, 4:20, resolved, 15:16, , 16:07
1509, 6:45, abandoned, 16:07, 17:50,
1106, 7:44, resolved, 17:50, , 18:34
1255, 7:36, resolved, 18:34, , 18:51
1167, 8:19, abandoned, 18:51, 20:01,
1648, 10:17, abandoned, 20:01, 21:57,
1044, 11:51, resolved, 21:57, , 22:22
1197, 12:56, resolved, 22:22, , 22:41
1613, 11:07, resolved, 22:41, , 23:51
1414, 12:07, abandoned, 23:51, 0:25,
1507, 2:40, abandoned, 2:40, 3:28,
1890, 4:46, resolved, 4:46, , 5:38
1039, 7:27, resolved, 7:27, , 8:48
1711, 9:42, resolved, 9:42, , 10:13
1309, 10:53, resolved, 10:53, , 11:00
1199, 1:32, abandoned, 11:00, 12:32,
1109, 2:34, abandoned, 12:32, 12:45,
1067, 2:54, abandoned, 12:45, 13:31,
1079, 3:27, resolved, 13:31, , 14:25
1378, 4:19, resolved, 14:25, , 14:32
1038, 2:59, abandoned, 14:32, 15:14,
1597, 4:39, resolved, 15:14, , 17:00
1385, 5:40, resolved, 17:00, , 17:56
1067, 5:41, abandoned, 17:56, 19:00,
1685, 9:18, resolved, 19:00, , 19:44
1764, 9:03, abandoned, 19:44, 20:54,
1814, 10:00, abandoned, 20:54, 21:22,
1033, 11:31, abandoned, 21:22, 21:43,
1725, 10:11, resolved, 21:43, , 22:56
1170, 12:33, resolved, 22:56, , 23:59
1366, 11:45, resolved, 23:59, , 0:07
1141, 1:08, resolved, 1:08, , 1:54
1232, 3:24, abandoned, 3:24, 4:29,
1884, 6:35, resolved, 6:35, , 6:50
1162, 8:46, abandoned, 8:46, 9:38,
1721, 11:00, abandoned, 11:00, 11:32,
1872, 1:58, resolved, 11:32, , 12:27
1309, 1:31, abandoned, 12:27, 12:45,
1624, 2:35, abandoned, 12:45, 12:51,
1551, 1:46, abandoned, 12:51, 13:18,
1437, 2:02, resolved, 13:18, , 14:08
1324, 2:36, abandoned, 14:08, 15:56,
1708, 3:59, resolved, 15:56, , 16:36
1996, 5:05, resolved, 16:36, , 16:56
1118, 6:04, resolved, 16:56, , 17:36
1799, 6:19, resolved, 17:36, , 18:29
1513, 7:36, abandoned, 18:29, 19:15,
1784, 8:18, resolved, 19:15, , 19:29
1891, 7:41, resolved, 19:29, , 20:33
1414, 9:23, abandoned, 20:33, 21:16,
1494, 10:44, resolved, 21:16, , 22:09
1009, 12:27, abandoned, 22:09, 23:39,
1431, 13:10, resolved, 23:39, , 0:20
1027, 2:43, resolved, 2:43, , 3:47
1507, 5:15, resolved, 5:15, , 5:42
1123, 6:06, abandoned, 6:06, 7:26,
1670, 8:17, resolved, 8:17, , 9:55
1651, 10:59, abandoned, 10:59, 11:04,
1544, 1:05, resolved, 11:04, , 11:25
1960, 11:57, resolved, 11:57, , 11:57
1245, 12:27, abandoned, 12:27, 13:24,
1625, 1:42, abandoned, 13:24, 14:36,
1880, 3:46, resolved, 14:36, , 15:20
1940, 5:16, abandoned, 15:20, 15:43,
1385, 4:56, resolved, 15:43, , 16:57
1954, 6:07, resolved, 16:57, , 17:06
1831, 7:49, abandoned, 17:06, 18:48,
1305, 8:29, abandoned, 18:48, 19:27,
1024, 9:04, resolved, 19:27, , 20:24
1248, 10:58, abandoned, 20:24, 21:39,
1174, 10:07, abandoned, 21:39, 21:39,
1265, 10:11, abandoned, 21:39, 22:24,
1202, 12:46, abandoned, 22:24, 23:59,
1133, 13:50, abandoned, 23:59, 0:55,
1398, 2:51, abandoned, 2:51, 3:27,
1207, 5:38, resolved, 5:38, , 6:12
1794, 7:09, abandoned, 7:09, 7:19,
1161, 9:15, resolved, 9:15, , 10:46
1759, 12:41, resolved, 12:41, , 13:00
1465, 3:20, abandoned, 13:00, 13:15,
1092, 2:39, abandoned, 13:15, 14:58,
1743, 3:55, abandoned, 14:58, 15:31,
1397, 5:35, resolved, 15:31, , 16:28
1859, 5:54, abandoned, 16:28, 16:36,
1279, 4:55, abandoned, 16:36, 17:08,
1917, 6:19, resolved, 17:08, , 17:18
1487, 6:36, resolved, 17:18, , 18:21
1887, 8:03, resolved, 18:21, , 18:49
1586, 7:54, abandoned, 18:49, 19:23,
1597, 9:02, resolved, 19:23, , 20:01
1927, 9:59, resolved, 20:01, , 20:04
1101, 10:40, abandoned, 20:04, 21:15,
1139, 11:23, resolved, 21:15, , 22:49
1317, 11:23, abandoned, 22:49, 23:38,
1715, 12:44, resolved, 23:38, , 0:08
1159, 0:52, abandoned, 0:52, 0:54,
1909, 2:14, abandoned, 2:14, 3:05,
1605, 5:08, abandoned, 5:08, 6:20,
1726, 7:01, resolved, 7:01, , 7:48
1674, 9:45, resolved, 9:45, , 10:33
1802, 11:13, resolved, 11:13, , 11:44
1233, 12:02, resolved, 12:02, , 13:51
1875, 3:25, resolved, 13:51, , 14:28
1464, 2:51, resolved, 14:28, , 15:11
1046, 4:05, abandoned, 15:11, 16:12,
1146, 6:48, abandoned, 16:12, 17:23,
1470, 6:42, abandoned, 17:23, 18:51,
1582, 7:09, abandoned, 18:51, 19:22,
1406, 7:54, abandoned, 19:22, 20:16,
1866, 10:06, abandoned, 20:16, 20:48,
1571, 8:57, resolved, 20:48, , 21:49
1236, 10:47, abandoned, 21:49, 21:58,
1353, 11:23, resolved, 21:58, , 22:16
1464, 10:50, abandoned, 22:16, 23:42,
1595, 13:51, resolved, 23:42, , 0:53
1253, 2:38, resolved, 2:38, , 3:06
1655, 5:31, abandoned, 5:31, 5:38,
1392, 7:13, abandoned, 7:13, 8:21,
1840, 9:28, abandoned, 9:28, 10:03,
1315, 10:55, resolved, 10:55, , 11:02
1838, 1:02, resolved, 11:02, , 12:49
1059, 2:26, resolved, 12:49, , 13:58
1699, 1:37, resolved, 13:58, , 14:51
1440, 4:00, abandoned, 14:51, 14:55,
1701, 2:08, resolved, 14:55, , 15:13
1899, 3:56, abandoned, 15:13, 15:50,
1722, 5:48, abandoned, 15:50, 16:33,
1782, 6:02, abandoned, 16:33, 17:53,
1090, 7:59, abandoned, 17:53, 18:42,
1309, 8:27, abandoned, 18:42, 19:41,
1261, 9:47, resolved, 19:41, , 20:09
1390, 10:27, abandoned, 20:09, 21:11,
1448, 10:20, abandoned, 21:11, 22:58,
1256, 10:50, abandoned, 22:58, 23:03,
1798, 13:04, abandoned, 23:03, 23:31,
1053, 12:19, resolved, 23:31, , 0:43
1055, 1:54, abandoned, 1:54, 2:45,
1762, 4:48, abandoned, 4:48, 5:01,
1502, 7:21, abandoned, 7:21, 8:06,
1903, 9:58, resolved, 9:58, , 10:02
1496, 12:13, abandoned, 12:13, 12:36,
1954, 1:30, resolved, 12:36, , 13:03
1206, 2:44, abandoned, 13:03, 14:24,
1590, 4:03, abandoned, 14:24, 15:04,
1799, 4:46, abandoned, 15:04, 15:20,
1099, 5:53, abandoned, 15:20, 16:45,
1681, 5:06, abandoned, 16:45, 17:11,
1121, 6:19, abandoned, 17:11, 18:58,
1869, 7:46, abandoned, 18:58, 19:58,
1849, 9:55, abandoned, 19:58, 21:00,
1754, 10:01, resolved, 21:00, , 22:09
1960, 10:22, resolved, 22:09, , 23:32
1400, 12:54, abandoned, 23:32, 23:41,
1348, 12:06, resolved, 23:41, , 23:58
1870, 13:06, abandoned, 23:58, 0:13,
1067, 1:37, resolved, 1:37, , 2:30
1382, 4:44, abandoned, 4:44, 4:58,
1411, 5:14, resolved, 5:14, , 5:23
1486, 7:37, resolved, 7:37, , 8:26
1950, 10:33, resolved, 10:33, , 10:52
1454, 10:39, abandoned, 10:52, 11:34,
1914, 11:40, abandoned, 11:40, 12:11,
1875, 2:29, resolved, 12:11, , 13:18
1914, 3:30, abandoned, 13:18, 15:00,
1066, 4:36, resolved, 15:00, , 16:44
1128, 5:21, resolved, 16:44, , 17:21
1490, 7:32, resolved, 17:21, , 17:35
1844, 5:44, resolved, 17:35, , 18:58
1082, 7:30, resolved, 18:58, , 19:30
1615, 9:23, resolved, 19:30, , 20:56
1462, 10:02, abandoned, 20:56, 21:31,
1289, 11:58, abandoned, 21:31, 22:39,
1938, 11:34, resolved, 22:39, , 23:32
1360, 11:50, resolved, 23:32, , 1:01
1759, 2:46, abandoned, 2:46, 3:21,
1187, 4:55, abandoned, 4:55, 5:41,
1705, 7:41, abandoned, 7:41, 8:38,
1635, 9:54, resolved, 9:54, , 10:09
1084, 12:52, abandoned, 12:52, 13:26,
1399, 2:20, abandoned, 13:26, 13:32,
1662, 1:46, resolved, 13:32, , 14:54
1718, 2:53, abandoned, 14:54, 16:01,
1313, 6:40, abandoned, 16:01, 16:56,
1460, 5:35, abandoned, 16:56, 17:49,
1366, 7:31, abandoned, 17:49, 18:47,
1966, 7:10, abandoned, 18:47, 19:47,
1848, 9:46, resolved, 19:47, , 20:54
1858, 8:52, abandoned, 20:54, 21:54,
1099, 11:57, abandoned, 21:54, 22:40,
1284, 12:14, abandoned, 22:40, 23:24,
1393, 11:37, abandoned, 23:24, 0:05,
1097, 2:01, resolved, 2:01, , 3:02
1156, 3:40, resolved, 3:40, , 4:08
1580, 6:25, abandoned, 6:25, 7:11,
1932, 9:57, abandoned, 9:57, 10:28,
1223, 11:10, resolved, 11:10, , 12:04
1623, 1:03, abandoned, 12:04, 12:57,
1507, 2:59, resolved, 12:57, , 13:04
1719, 3:53, resolved, 13:04, , 13:28
1978, 2:21, abandoned, 13:28, 14:28,
1111, 4:19, resolved, 14:28, , 15:14
1522, 5:01, abandoned, 15:14, 15:58,
1277, 3:03, abandoned, 15:58, 15:58,
1147, 5:25, resolved, 15:58, , 16:22
